Risk ID,Title,Level,Parent Risk,Risk Level 1,Risk Level 2,Risk Level 3,Business Unit,Category,Owner,Assessor,Inherent Risk,Inherent Trend,Controls,Effectiveness,Test Results,Residual Risk,Residual Trend,Status,Last Assessed
R-100,Enterprise Operational Risk,Level 1,,Operational,Enterprise Operations,,Enterprise,Operational,Chief Operations Officer,Sarah Johnson,High,↑,Enterprise Risk Framework,Design Effective,Operating Effective,Medium,→,Sent for Assessment,2025-01-15
R-100-A,Process Control Failure,Level 2,Enterprise Operational Risk,Operational,Process Management,,Retail Banking,Operational,Operations Manager,David Kim,Medium,→,Process Monitoring System,Operating Effective,Design Effective,Low,↓,Sent for Assessment,2025-01-14
R-100-A-1,Manual Data Entry Errors,Level 3,Process Control Failure,Operational,Process Management,Data Quality,Retail Banking,Operational,Data Entry Supervisor,Emily Chen,Medium,↑,Dual Verification Protocol,Design Effective,Operating Effective,Low,→,Sent for Assessment,2025-01-12
R-100-A-2,System Integration Failures,Level 3,Process Control Failure,Operational,Process Management,IT Systems,IT Operations,Operational,Integration Lead,Michael Park,High,↑,API Monitoring Dashboard,Partially Effective,Design Effective,Medium,→,Sent for Assessment,2025-01-10
R-200,Enterprise Credit Risk,Level 1,,Credit,Enterprise Credit,,Corporate Banking,Financial,Chief Credit Officer,Thomas Anderson,Critical,↑,Credit Risk Framework,Design Effective,Operating Effective,High,→,Sent for Assessment,2025-01-18
R-200-A,Lending Portfolio Risk,Level 2,Enterprise Credit Risk,Credit,Lending Operations,,Commercial Lending,Financial,Lending Manager,Jennifer Lee,High,→,Portfolio Concentration Limits,Operating Effective,Design Effective,Medium,↓,Sent for Assessment,2025-01-16
R-200-A-1,Commercial Loan Default,Level 3,Lending Portfolio Risk,Credit,Lending Operations,Commercial Loans,Commercial Lending,Financial,Credit Analyst Lead,Robert Chen,High,↑,Credit Scoring Model,Design Effective,Operating Effective,Medium,→,Sent for Assessment,2025-01-14
R-200-B,Counterparty Exposure,Level 2,Enterprise Credit Risk,Credit,Counterparty Risk,,Treasury,Financial,Treasury Manager,Lisa Wang,Medium,↓,Counterparty Limits System,Design Effective,Operating Effective,Low,↓,Sent for Assessment,2025-01-15
R-300,Enterprise Technology Risk,Level 1,,Technology,Enterprise IT,,IT Department,Technology,Chief Technology Officer,Alex Turner,Critical,↑,IT Governance Framework,Design Effective,Operating Effective,High,→,Sent for Assessment,2025-01-20
R-300-A,Cybersecurity Threats,Level 2,Enterprise Technology Risk,Technology,IT Security,,IT Security,Technology,CISO,Maria Garcia,Critical,↑,Security Operations Center,Operating Effective,Design Effective,High,→,Sent for Assessment,2025-01-18
R-300-A-1,Ransomware Attacks,Level 3,Cybersecurity Threats,Technology,IT Security,Malware Defense,IT Security,Technology,Security Analyst Lead,Kevin Martinez,Critical,↑,Endpoint Detection & Response,Design Effective,Operating Effective,Medium,↓,Sent for Assessment,2025-01-16
R-300-B,System Availability,Level 2,Enterprise Technology Risk,Technology,IT Infrastructure,,IT Operations,Technology,Infrastructure Manager,Daniel Foster,Medium,→,High Availability Architecture,Design Effective,Operating Effective,Low,↓,Sent for Assessment,2025-01-17
